filename,led_role,gauss_x,gauss_y,sigma_x,sigma_y,FWHM_px,centroid_x,centroid_y,peak of gauss,blob area,centroid_to_gauss_dist
range699_exp20_1.dng,central,623.038194669593,379.039414086688,1.67137996544675,1.73271596915522,4.0086627670788,623.021126760563,378.880281690141,15.2071539820632,23,0.160045097236547
range699_exp20_10.dng,central,623.034955686641,378.985799133408,1.68718963714969,1.7872643323627,4.09254892433859,622.981907894737,378.677631578947,14.8711836902668,25,0.312700031737066
range699_exp20_11.dng,central,623.021804333339,379.017923933944,1.70572013899674,1.82744929004689,4.16245273064409,622.984589041096,378.775684931507,14.2946642395361,24,0.245081032066061
range699_exp20_12.dng,central,623.01025712417,379.008672705694,1.6806464507623,1.72370524500784,4.00863394098739,622.978685612789,378.799289520426,14.8688964030126,23,0.211750038025196
range699_exp20_13.dng,central,623.025312520974,379.051164667918,1.65659697169238,1.700145759708,3.95259072047049,623.017077798861,379.026565464896,15.5510011425273,21,0.0259409220651493
range699_exp20_14.dng,central,623.052601663238,379.03957960655,1.64347014155549,1.71620476149892,3.95663738891443,622.908289241623,378.8430335097,15.3623970794443,23,0.243836919311786
range699_exp20_15.dng,central,623.019666364542,379.019297003802,1.63236737853417,1.70472898443386,3.93004994331213,623.051327433628,378.833628318584,15.3493251741933,23,0.18834883585078
range699_exp20_16.dng,central,623.055968743622,379.04136094473,1.69468570318372,1.73556896263988,4.03909856381842,623.024475524476,378.881118881119,15.2927789524679,23,0.16330750687726
range699_exp20_17.dng,central,623.008679653491,379.004823875945,1.71034419989216,1.78910649893177,4.12132719929361,622.94,378.949090909091,15.0727990182074,22,0.0884480548008976
range699_exp20_18.dng,central,622.97375008932,379.08645673736,1.66912971265417,1.69388269950613,3.95974735937526,623.003533568905,378.888692579505,15.2143550880949,23,0.199994294389411
range699_exp20_19.dng,central,623.057021705079,379.074470776353,1.66927517565381,1.75233409774397,4.02981935330178,623.016423357664,378.919708029197,15.1383886244456,22,0.159999167873457
range699_exp20_2.dng,central,622.977142818391,379.039250106614,1.68909926946586,1.77755540710839,4.08299794077686,622.961467889908,378.906422018349,14.8755365352429,22,0.133749782859891
range699_exp20_20.dng,central,623.073751523875,379.095928888642,1.66398864239424,1.74001068020694,4.00889783416555,623.025594149909,378.928702010969,15.1246458340287,22,0.174022875748136
range699_exp20_21.dng,central,622.992229713203,379.046457818115,1.68980477395164,1.76346927903301,4.0668399284335,622.933928571429,378.846428571429,14.46210734377,23,0.208352400183077
range699_exp20_22.dng,central,623.082354420324,379.006350305984,1.65359372976098,1.7208318222502,3.9738666858717,623.022767075306,378.873905429072,15.585933444435,23,0.145231873590727
range699_exp20_23.dng,central,623.003104297214,379.033778981744,1.66749913584948,1.76190657322728,4.03934185829277,623.011965811966,378.779487179487,14.8807469686883,24,0.254446157641554
range699_exp20_24.dng,central,623.046905304151,379.048422307518,1.65383248829017,1.73177836637093,3.98730401139165,623.021015761821,378.882661996497,15.4718952862707,23,0.167769929104739
range699_exp20_25.dng,central,623.029046911523,379.076623090315,1.66613807587393,1.72323774502615,3.99124686870115,622.979626485569,378.789473684211,15.1656203454965,24,0.291371172094282
range699_exp20_26.dng,central,623.041474610772,378.977827857697,1.68352185971047,1.75116650733949,4.04481621194321,623.017543859649,378.871929824561,15.3013235314331,23,0.108568293121857
range699_exp20_27.dng,central,623.08666935693,379.018477828212,1.70202239491096,1.7048265342516,4.01125495990902,622.998299319728,378.775510204082,15.1289366337532,24,0.258539223040538
range699_exp20_28.dng,central,622.991599880925,379.082239851847,1.64646936477886,1.67943845776624,3.91614523074764,623.011428571429,379.032380952381,15.3138723571855,21,0.0536571227613042
range699_exp20_29.dng,central,622.998511429862,379.009256627011,1.70518192259827,1.76384951992642,4.08505189006232,623.015358361775,378.773037542662,14.8218733491705,24,0.236819076354212
range699_exp20_3.dng,central,623.063644421413,379.038625388776,1.69335437473041,1.75195421054402,4.0571230547062,623.099082568807,378.955963302752,14.8583966082994,22,0.0899382163297934
range699_exp20_30.dng,central,623.010756989568,378.981186222961,1.72783442247923,1.78801952313204,4.14020353145967,622.943161634103,378.831261101243,14.4030961659183,23,0.164458731000651
range699_exp20_31.dng,central,623.010854489988,378.991842414985,1.67303084223235,1.79850190616428,4.09008172617362,622.939929328622,378.833922261484,14.6531401883134,23,0.173116011381025
range699_exp20_32.dng,central,623.08745813827,378.9817111565,1.69942718611893,1.73298642813716,4.04154684151571,623.028419182948,378.868561278863,14.8126235455646,23,0.127626380716168
range699_exp20_33.dng,central,623.049956822726,378.986444648278,1.66823825669675,1.78367169863419,4.06658069615246,623.091710758377,378.834215167549,14.9130533158095,23,0.157851848090572
range699_exp20_34.dng,central,623.031287014333,378.972900829111,1.68439542893663,1.73265137324706,4.02366183368187,623.08957952468,378.937842778793,15.1105604248876,22,0.0680226701519763
range699_exp20_35.dng,central,623.00006307129,378.970951657731,1.6795389541142,1.74670507875581,4.03486462962817,623.010101010101,378.76430976431,15.4639719585897,24,0.206885553706319
range699_exp20_36.dng,central,623.043565923263,379.030707324822,1.65750620308544,1.70536321905948,3.95987266540617,622.913427561837,378.840989399293,15.2235176702261,23,0.230062783564155
range699_exp20_37.dng,central,622.982944591481,378.99386308872,1.64830210789706,1.71997190309921,3.96673281888451,622.926873857404,378.943327239488,15.3497682074867,22,0.0754837683047388
range699_exp20_38.dng,central,623.027233139365,379.025853121992,1.74504098419652,1.7685542396704,4.13703025133531,622.946593001842,378.950276243094,14.5650026950697,22,0.110520117642369
range699_exp20_39.dng,central,623.020489553959,379.006180761843,1.66139444986123,1.72876760754395,3.99239448090162,622.939338235294,378.943014705882,15.1725467938012,22,0.102837187566912
range699_exp20_4.dng,central,623.051557433735,379.039008618407,1.64454474703589,1.7751530722637,4.02931756973167,622.946808510638,378.840425531915,14.7778891118597,23,0.224516322637554
range699_exp20_40.dng,central,623.043736289017,379.028999996587,1.64182256732082,1.71064494412044,3.9480561071317,622.943430656934,378.947080291971,15.5461069562887,22,0.129506979857325
range699_exp20_41.dng,central,623.073497016186,379.049992646232,1.61600166416363,1.75916563510457,3.97752471304099,622.94885361552,378.846560846561,15.243807724717,23,0.238580121650779
range699_exp20_42.dng,central,623.062074166088,378.965250284081,1.63423116430667,1.7320545996339,3.96516734852061,622.99494949495,378.771043771044,15.7307790984568,24,0.205479661235079
range699_exp20_43.dng,central,622.999743728794,379.059300836327,1.64574209579503,1.73240011438418,3.97876253510644,622.936131386861,378.956204379562,15.4965848854163,22,0.121142104338883
range699_exp20_44.dng,central,622.98543684352,379.009783663085,1.70132925967226,1.73606891954941,4.04742923851245,623.007142857143,378.875,14.4915197114807,23,0.136520280038943
range699_exp20_45.dng,central,623.038918212793,379.038529199413,1.65279395210005,1.7232661055957,3.97586842994201,622.91186440678,378.74406779661,15.3493989136819,24,0.320702646330173
range699_exp20_46.dng,central,623.030626078033,379.043445462491,1.65998001096059,1.74528856141959,4.01065082385638,622.911816578483,378.839506172839,15.2192898057995,23,0.236023157861821
range699_exp20_47.dng,central,622.985204064619,379.057518321144,1.68791554124418,1.73073937409002,4.02546986037725,623.011363636364,379.028409090909,15.3237423447159,21,0.0391365619175882
range699_exp20_48.dng,central,623.015893156611,379.007805205595,1.71777759208676,1.7880262441913,4.12859256512125,623.017064846416,378.776450511945,14.5895774981483,24,0.231357660626754
range699_exp20_49.dng,central,622.997127579297,378.973082112122,1.70149716351605,1.78067729935777,4.10100233854849,623.005119453925,378.766211604096,14.8205553187064,24,0.207024822547864
range699_exp20_5.dng,central,623.0241098941,379.011006040461,1.61700248968157,1.7327878687679,3.94642770363283,623.011904761905,378.775510204082,15.4190047213748,24,0.235811904288307
range699_exp20_50.dng,central,623.029610781511,379.063455482134,1.66723890948892,1.69445221035227,3.95821408965084,623.020912547528,379.028517110266,15.2985789000665,21,0.0360048483286599
range699_exp20_51.dng,central,622.92246525703,378.99955606762,1.65446456775058,1.75229726113374,4.01280466192957,622.922123893805,378.840707964602,15.0206230440949,23,0.158848469811582
range699_exp20_52.dng,central,623.024804564058,379.085889732217,1.66295800083079,1.712745908889,3.97501545593546,623.019120458891,379.034416826004,15.1371494659454,21,0.0517858004241928
range699_exp20_53.dng,central,623.089306761589,378.976434301474,1.68880985981391,1.78334376692481,4.08965885260687,623.027303754266,378.767918088737,14.6521472389411,24,0.217539384689593
range699_exp20_54.dng,central,623.009166747103,379.009116302641,1.70189060213411,1.82659736799723,4.15706636652286,623.089630931459,378.843585237258,14.6281715075659,23,0.184051673643194
range699_exp20_55.dng,central,622.992689947533,379.061471141201,1.64285485308903,1.71083068347881,3.9494695942283,622.93956043956,378.952380952381,15.2455950095059,22,0.121340075466964
range699_exp20_56.dng,central,623.085824840112,379.080908849656,1.64122712210689,1.68501160006534,3.91668172691945,623.027372262774,378.916058394161,15.5755133123348,22,0.174906765090891
range699_exp20_57.dng,central,623.055069407633,379.023768978876,1.65559238609598,1.74482930744908,4.00506452940799,623.101102941176,378.950367647059,15.0303824202931,22,0.0866420320805629
range699_exp20_58.dng,central,622.984951027209,379.012219785873,1.64978175037123,1.70993213436596,3.95639031298357,622.938069216758,378.945355191257,15.5949830343192,22,0.0816625872989866
range699_exp20_59.dng,central,623.029564226229,378.975692072205,1.64814898995568,1.69566275583543,3.93743051319315,623.052991452991,378.728205128205,15.2585794527099,24,0.248593287126318
range699_exp20_6.dng,central,623.012234781648,378.980591472416,1.71078935765869,1.7390954247952,4.0620611135249,623.010582010582,378.867724867725,15.0068274947665,23,0.112878705284092
range699_exp20_60.dng,central,622.977912041923,378.987333496904,1.70928454545839,1.80676844075246,4.14142224041208,622.932234432234,378.935897435897,14.7601530602506,22,0.0687903510581044
range699_exp20_7.dng,central,623.0357646755,379.043710435249,1.63181736851851,1.70421338925733,3.92879646436027,622.946691176471,378.950367647059,15.2848064394034,22,0.129023115512357
range699_exp20_8.dng,central,623.044070140026,379.048256388375,1.68490979756117,1.76227403234605,4.05976628270413,623.020952380952,379.024761904762,14.9790739315277,21,0.0329609093452116
range699_exp20_9.dng,central,623.067646125906,379.006849318413,1.6331874348222,1.7367711754566,3.96969254820452,623.058201058201,378.835978835979,15.2222352873857,23,0.17113132697185
range699_exp20_1.dng,central,623.038194669593,379.039414086688,1.67137996544675,1.73271596915522,4.0086627670788,623.04160224877,378.935488404779,15.2071539820632,23,0.103981531803301
range699_exp20_10.dng,central,623.034955686641,378.985799133408,1.68718963714969,1.7872643323627,4.09254892433859,623.005403602402,378.755436957972,14.8711836902668,25,0.232249989353377
range699_exp20_11.dng,central,623.021804333339,379.017923933944,1.70572013899674,1.82744929004689,4.16245273064409,623.009662171556,378.843528430418,14.2946642395361,24,0.174817687156537
range699_exp20_12.dng,central,623.01025712417,379.008672705694,1.6806464507623,1.72370524500784,4.00863394098739,623.001860465116,378.859677996422,14.8688964030126,23,0.14923112032741
range699_exp20_13.dng,central,623.025312520974,379.051164667918,1.65659697169238,1.700145759708,3.95259072047049,623.03409684399,379.056405282399,15.5510011425273,21,0.0102288010540545
range699_exp20_14.dng,central,623.052601663238,379.03957960655,1.64347014155549,1.71620476149892,3.95663738891443,622.945545602031,378.902729773577,15.3623970794443,23,0.173749466260649
range699_exp20_15.dng,central,623.019666364542,379.019297003802,1.63236737853417,1.70472898443386,3.93004994331213,623.059266094116,378.885300589112,15.3493251741933,23,0.139725365385616
range699_exp20_16.dng,central,623.055968743622,379.04136094473,1.69468570318372,1.73556896263988,4.03909856381842,623.049159838911,378.934453548118,15.2927789524679,23,0.107124005869777
range699_exp20_17.dng,central,623.008679653491,379.004823875945,1.71034419989216,1.78910649893177,4.12132719929361,622.969720943613,378.989787111623,15.0727990182074,22,0.0417598534078881
range699_exp20_18.dng,central,622.97375008932,379.08645673736,1.66912971265417,1.69388269950613,3.95974735937526,623.007784854919,378.949964614296,15.2143550880949,23,0.140671478729876
range699_exp20_19.dng,central,623.057021705079,379.074470776353,1.66927517565381,1.75233409774397,4.02981935330178,623.033901980627,378.97816972676,15.1383886244456,22,0.0990374364141668
range699_exp20_2.dng,central,622.977142818391,379.039250106614,1.68909926946586,1.77755540710839,4.08299794077686,622.969918758691,378.951474785918,14.8755365352429,22,0.0880720952500472
range699_exp20_20.dng,central,623.073751523875,379.095928888642,1.66398864239424,1.74001068020694,4.00889783416555,623.051419856199,378.991357397051,15.1246458340287,22,0.106929417069003
range699_exp20_21.dng,central,622.992229713203,379.046457818115,1.68980477395164,1.76346927903301,4.0668399284335,622.955164421266,378.909604519774,14.46210734377,23,0.141783853569874
range699_exp20_22.dng,central,623.082354420324,379.006350305984,1.65359372976098,1.7208318222502,3.9738666858717,623.047883800125,378.922023768156,15.585933444435,23,0.0910998827606286
range699_exp20_23.dng,central,623.003104297214,379.033778981744,1.66749913584948,1.76190657322728,4.03934185829277,623.025396166355,378.849629783406,14.8807469686883,24,0.185493543494724
range699_exp20_24.dng,central,623.046905304151,379.048422307518,1.65383248829017,1.73177836637093,3.98730401139165,623.041466638837,378.939121964795,15.4718952862707,23,0.10943557008488
range699_exp20_25.dng,central,623.029046911523,379.076623090315,1.66613807587393,1.72323774502615,3.99124686870115,623.000955566173,378.867585830319,15.1656203454965,24,0.210916333531257
range699_exp20_26.dng,central,623.041474610772,378.977827857697,1.68352185971047,1.75116650733949,4.04481621194321,623.036752375629,378.917901062046,15.3013235314331,23,0.0601125639265544
range699_exp20_27.dng,central,623.08666935693,379.018477828212,1.70202239491096,1.7048265342516,4.01125495990902,623.036877394636,378.84126984127,15.1289366337532,24,0.18407039453699
range699_exp20_28.dng,central,622.991599880925,379.082239851847,1.64646936477886,1.67943845776624,3.91614523074764,623.024065578702,379.067158005565,15.3138723571855,21,0.0357978158467633
range699_exp20_29.dng,central,622.998511429862,379.009256627011,1.70518192259827,1.76384951992642,4.08505189006232,623.029987591342,378.837929132773,14.8218733491705,24,0.174194888051516
range699_exp20_3.dng,central,623.063644421413,379.038625388776,1.69335437473041,1.75195421054402,4.0571230547062,623.109801625064,379.003660054169,14.8583966082994,22,0.0579056307549728
range699_exp20_30.dng,central,623.010756989568,378.981186222961,1.72783442247923,1.78801952313204,4.14020353145967,622.972288032163,378.879747289827,14.4030961659183,23,0.108488330428193
range699_exp20_31.dng,central,623.010854489988,378.991842414985,1.67303084223235,1.79850190616428,4.09008172617362,622.96621237933,378.885576377058,14.6531401883134,23,0.115262261215676
range699_exp20_32.dng,central,623.08745813827,378.9817111565,1.69942718611893,1.73298642813716,4.04154684151571,623.057588997923,378.912756965833,14.8126235455646,23,0.0751454985717185
range699_exp20_33.dng,central,623.049956822726,378.986444648278,1.66823825669675,1.78367169863419,4.06658069615246,623.097716184685,378.883900162625,14.9130533158095,23,0.113120856576822
range699_exp20_34.dng,central,623.031287014333,378.972900829111,1.68439542893663,1.73265137324706,4.02366183368187,623.090459928795,378.969047446051,15.1105604248876,22,0.0592982492733129
range699_exp20_35.dng,central,623.00006307129,378.970951657731,1.6795389541142,1.74670507875581,4.03486462962817,623.021059691482,378.82092555332,15.4639719585897,24,0.151488250581794
range699_exp20_36.dng,central,623.043565923263,379.030707324822,1.65750620308544,1.70536321905948,3.95987266540617,622.956604842135,378.898485063004,15.2235176702261,23,0.158255982986392
range699_exp20_37.dng,central,622.982944591481,378.99386308872,1.64830210789706,1.71997190309921,3.96673281888451,622.945730247406,378.979757672495,15.3497682074867,22,0.0397978664225021
range699_exp20_38.dng,central,623.027233139365,379.025853121992,1.74504098419652,1.7685542396704,4.13703025133531,622.981184977496,378.991367224969,14.5650026950697,22,0.0575300817398349
range699_exp20_39.dng,central,623.020489553959,379.006180761843,1.66139444986123,1.72876760754395,3.99239448090162,622.968383215962,378.978066314554,15.1725467938012,22,0.0592072006243892
range699_exp20_4.dng,central,623.051557433735,379.039008618407,1.64454474703589,1.7751530722637,4.02931756973167,622.980154197601,378.899486007995,14.7778891118597,23,0.156732194990197
range699_exp20_40.dng,central,623.043736289017,379.028999996587,1.64182256732082,1.71064494412044,3.9480561071317,622.977699191686,378.988669168591,15.5461069562887,22,0.0773787691208018
range699_exp20_41.dng,central,623.073497016186,379.049992646232,1.61600166416363,1.75916563510457,3.97752471304099,622.984404770306,378.909604121092,15.243807724717,23,0.166271964765143
