filename,led_role,gauss_x,gauss_y,sigma_x,sigma_y,FWHM_px,centroid_x,centroid_y,peak of gauss,blob area,centroid_to_gauss_dist
range466_exp20_1.dng,central,617.550199658271,380.067959665716,2.31378821381592,2.40548686621551,5.55756441604242,617.421224489796,379.735510204082,17.0853044895319,48,0.356591136490882
range466_exp20_10.dng,central,617.597683285624,379.985785665947,2.34424787983862,2.44678714120149,5.64229817101132,617.489409984871,379.525718608169,16.5998430819256,53,0.472636017784818
range466_exp20_11.dng,central,617.504692649902,380.024650918652,2.3372614245361,2.39280432565296,5.56960455861323,617.371774193548,379.676612903226,16.9337928130357,49,0.372555735724224
range466_exp20_12.dng,central,617.503415357636,380.010118853574,2.33638277417473,2.4914112225171,5.68721664395333,617.491228070175,379.622807017544,16.3363173026891,50,0.387503533279841
range466_exp20_13.dng,central,617.552324070098,379.993451194342,2.28567782773839,2.49600079582965,5.63543358419789,617.466977466977,379.587412587413,16.8303043162977,51,0.41491130736774
range466_exp20_14.dng,central,617.543420881261,380.022068816136,2.32062599397333,2.38121288985256,5.53644564069655,617.46875,379.59375,16.9674787893562,51,0.43477896541169
range466_exp20_15.dng,central,617.514973372504,379.975346608488,2.31017182959479,2.46919565023189,5.63038298578889,617.419504643963,379.52399380805,16.4789130356082,52,0.461338951957231
range466_exp20_16.dng,central,617.576341204762,379.979432837815,2.3346620351302,2.43236764132159,5.61392106663556,617.406847133758,379.604299363057,16.6310608089494,50,0.411647135285851
range466_exp20_17.dng,central,617.53208003686,380.000778564507,2.3420401495375,2.42400476102778,5.61241256148514,617.338412189254,379.608660785886,16.2270623210688,50,0.437336926758495
range466_exp20_18.dng,central,617.569428439155,380.033383769218,2.30475199410759,2.43324055519019,5.58060462848338,617.445591739476,379.649722001589,16.8930385168492,50,0.403152427907983
range466_exp20_19.dng,central,617.578188350992,380.035123976488,2.28656082677743,2.40355240630157,5.52389790188984,617.422958397535,379.532357473035,16.9403950149558,52,0.526184849120837
range466_exp20_2.dng,central,617.588924408788,380.019072568388,2.30857120082093,2.38434493784845,5.52620055194806,617.502351097179,379.665360501567,16.9322616917253,51,0.364152666470738
